"AI_usage_freq","hours_online","AI_help_decisions","confident_in_AI_decisions","rely_on_AI","AI_clarity","second_guessing_self","AI_differs","AI_thinking_right_track","pause_to_check","AI_important_decisions","change_own_decisions","AI_influence_decisions_think","AI_persuasive","judgement_separation","rely_awareness","independent_without_AI","AI_influence_decisions","reflect_decision_style","conflicted_ab_influence","AI_effect_strength","AI_best_interest","clear_life_priorities","digital_effect_mind","AI_growing_role","age","gender","country","education","work_status","emotional_wellbeing","empathy_AI_values","fairness_AI_values","honesty_AI_values","wellbeing_AI_values","nonharm_AI_values","respect_AI_values","responsibility_AI_values","transparency_AI_values","accountability_AI_values","accuracy_AI_values"
"Rarely","5–6 hours",2,3,4,5,5,6,5,5,4,5,5,4,5,5,5,6,5,5,5,5,5,4,5,"25 - 34","Woman","UK","Postgraduate degree","Employed full time",5,"0","1","0","0","0","0","0","1","1","0"
"Occasionally","More than 12 hours",2,6,6,6,6,6,6,6,6,7,6,6,6,7,1,6,6,7,6,4,2,6,4,"25 - 34","Woman","US","Postgraduate degree","Employed full time",4,"0","1","0","0","0","0","1","1","0","0"
"Often","2–4 hours",2,4,2,4,1,4,3,6,3,1,1,2,2,4,4,4,2,1,2,3,6,1,4,"55 - 65","Man","US","Bachelor’s degree","Employed full time",7,"0","1","0","0","0","0","0","1","1","0"
"Occasionally","2–4 hours",1,4,1,4,1,4,2,1,2,2,1,5,5,6,4,4,1,1,5,4,7,2,3,"55 - 65","Man","UK","Bachelor’s degree","Self-employed / freelance",6,"0","0","1","0","0","0","1","1","0","0"
"Rarely","2–4 hours",2,4,3,3,2,5,3,3,3,2,3,4,5,7,7,4,4,3,3,4,5,4,3,"35 - 44","Man","US","Bachelor’s degree","Employed full time",5,"0","0","1","0","0","0","1","0","0","0"
"Sometimes","5–6 hours",3,5,5,5,2,3,3,2,4,1,5,6,7,7,3,5,6,5,5,5,3,7,4,"25 - 34","Man","Canada","Some university/college","Employed part-time",4,"0","1","0","0","0","0","1","0","1","0"
"Rarely","Less than 2 hours",1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,1,1,1,1,1,7,5,1,"18 - 24","Woman","UK","Postgraduate degree","Employed full time",6,"0","0","0","0","0","0","0","1","1","0"
"Never","5–6 hours",1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,2,1,"18 - 24","Woman","Canada","Bachelor’s degree","Employed full time",7,"0","0","0","0","0","0","1","1","1","0"
"Rarely","2–4 hours",1,1,1,1,2,2,2,1,1,1,1,1,1,1,4,1,2,2,1,1,3,4,1,"25 - 34","Woman","US","Some university/college","Employed full time",4,"0","1","0","0","1","0","0","1","0","0"
"Occasionally","5–6 hours",2,4,2,2,5,5,5,2,3,5,5,6,6,7,7,5,7,7,6,2,6,7,1,"25 - 34","Woman","US","Postgraduate degree","Employed full time",5,"0","0","1","0","1","0","0","0","0","0"
"Often","11–12 hours",5,3,3,5,2,1,5,4,4,1,3,5,6,7,6,3,2,3,4,2,6,4,4,"35 - 44","Man","Ireland","Bachelor’s degree","Employed full time",6,"0","0","0","0","1","0","0","1","0","0"
"Occasionally","2–4 hours",2,2,2,5,5,5,2,1,1,2,2,2,2,2,5,2,2,2,2,5,5,2,4,"55 - 65","Woman","UK","Postgraduate degree","Other",3,"0","0","1","0","0","0","1","0","1","0"
"Rarely","2–4 hours",2,2,1,3,1,2,4,2,1,2,2,1,2,3,1,2,2,1,2,1,3,2,4,"Over 65","Man","New Zealand","Bachelor’s degree","Self-employed / freelance",5,"0","0","0","0","1","0","0","1","1","0"
"Sometimes","2–4 hours",2,1,1,3,1,2,4,2,1,1,1,1,1,5,6,2,2,1,1,1,4,5,1,"35 - 44","Woman","Canada","High school","Self-employed / freelance",2,"0","0","1","0","0","0","1","1","0","0"
"Sometimes","2–4 hours",6,6,4,6,1,6,5,2,5,5,3,6,6,7,7,6,6,2,6,5,6,5,5,"55 - 65","Woman","US","Some university/college","Employed part-time",7,"0","1","1","0","0","0","0","1","0","0"
"Often","7–8 hours",5,5,5,6,5,6,6,6,5,6,6,5,5,5,2,6,6,6,5,5,5,5,6,"25 - 34","Man","UK","Postgraduate degree","Employed full time",5,"0","0","1","0","0","0","0","1","0","0"
"Often","11–12 hours",2,3,3,3,4,3,3,2,2,3,3,2,4,6,5,4,3,3,4,5,3,6,2,"18 - 24","Woman","Canada","High school","Student",3,"1","0","1","0","0","0","0","1","0","0"
"Rarely","2–4 hours",1,1,1,1,3,5,1,1,1,1,5,5,6,7,7,4,5,5,5,1,7,4,1,"45 - 54","Man","UK","Some university/college","Not currently working",6,"1","0","0","0","0","0","0","1","1","0"
"Sometimes","7–8 hours",1,1,1,2,1,1,1,1,1,1,1,2,1,5,4,1,1,1,1,1,6,2,1,"35 - 44","Man","Canada","Bachelor’s degree","Employed full time",4,"0","0","0","0","1","0","1","1","0","0"
