I am 18+ and consent to take part. I understand anomymised data will be published openly,"How often do you use digital or AI-powered tools (e.g., ChatGPT, Copilot, Gemini, AI-enhanced search) in your daily life? ","On average, how many hours do you spend online each day? (self-estimate)  ","I often use AI tools to help me make decisions, even for everyday choices. ",I feel more confident in my decisions when an AI tool supports my thinking. ,I tend to rely on AI tools when making decisions feels difficult.,I prefer to check my ideas with AI before finalising an important decision. ,AI can be helpful for giving me clarity when I’m unsure what choice to make. ,I’ve started second-guessing my own judgement more than I used to. ,"If AI gives a different answer to mine, I sometimes wonder whether I might be mistaken. ",I use AI tools to check whether my thinking is on the right track. ,I tend to pause before acting so I can check what an AI tool suggests. ,"For important decisions, I feel more comfortable checking an AI tool as part of my process. ",Using AI regularly has changed the way I feel about making decisions on my own. ,I think about how much AI might be influencing my decisions. ,"I feel that AI suggestions can be persuasive, even when I try to rely on my own intuition. ",I need to take a moment to separate my own judgement from AI suggestions. ,"Even when AI is helpful, I’m aware that relying on it too much may not be ideal for me long-term. ",I feel more independent when I make decisions without using AI. ,AI tools influence how I think about my decisions. ,I occasionally reflect on whether AI is shaping my decision-making style. ,I feel conflicted about how much influence AI has on me. ,"I generally trust my own judgement, but AI tools can sometimes affect how strongly I feel about a choice. ",Describe a recent moment where you relied on an AI tool to help you make a decision — big or small. What made you turn to AI instead of deciding on your own?, How much do you trust AI systems to act in your best interests?  ,How clear do you feel about what matters most in your life right now? ,"How much does modern digital life affect your ability to focus, decide, or think clearly? ",How do you feel about the growing role of AI in everyday decision-making? ,Which values do you believe AI systems should reflect? (select up 3),What is your age group?,Which of the following best describes your gender?,Country of residence,What is your highest level of education? ,Which of the following best describes your current work status? ,How would you describe your general emotional wellbeing?  
Yes,Rarely,5–6 hours,2,3,4,5,5,5,6,5,5,4,5,5,4,5,5,5,6,5,5,5,"I used AI to decide where to go for dinner, and it chose somewhere which worked quite well. I was curious to see what it would say.",5,5,4,5,"Fairness, Transparency, Accountability",25 - 34,Woman,UK,Postgraduate degree,Employed full time,5
Yes,Occasionally,More than 12 hours,2,6,6,5,6,6,6,6,6,6,7,6,6,6,7,1,6,6,7,6,if I should retake an admission exam. I could not determine if it would hurt or help me,4,2,6,4,"Fairness, Responsibility, Transparency",25 - 34,Woman,US,Postgraduate degree,Employed full time,4
Yes,Often,2–4 hours,2,4,2,4,4,1,4,3,6,3,1,1,2,2,4,4,4,2,1,2,Writing an email to a client.  It seemed more efficient to let AI do it,3,6,1,4,"Fairness, Transparency, Accountability",55 - 65,Man,US,Bachelor’s degree,Employed full time,7
Yes,Occasionally,2–4 hours,1,4,1,1,4,1,4,2,1,2,2,1,5,5,6,4,4,1,1,5,It's sometimes useful to get a wider perspective that might give you points you haven't thought of,4,7,2,3,"Honesty, Responsibility, Transparency",55 - 65,Man,UK,Bachelor’s degree,Self-employed / freelance,6
Yes,Rarely,2–4 hours,2,4,3,2,3,2,5,3,3,3,2,3,4,5,7,7,4,4,3,3,"I needed to look up a fact. I asked, got my answer, and quickly fact-checked it. I was feeling lazy, which is why I didn't type it or look it up myself. ",4,5,4,3,"Honesty, Responsibility, Human wellbeing",35 - 44,Man,US,Bachelor’s degree,Employed full time,5
Yes,Sometimes,5–6 hours,3,5,5,4,5,2,3,3,2,4,1,5,6,7,7,3,5,6,5,5,"I wanted ChatGPT to help me with the sociological aspects of a decision, to try and tell me why people were acting the way they were, because I couldn't figure it out on my own.",5,3,7,4,"Fairness, Responsibility, Accountability",25 - 34,Man,Canada,Some university/college,Employed part-time,4
Yes,Rarely,Less than 2 hours,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,1,1,1,1,i have never used ai to make a decision ever ,1,7,5,1,"Transparency, Accountability",18 - 24,Woman,UK,Postgraduate degree,Employed full time,6
Yes,Never,5–6 hours,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,I haven't relied on AI in any decision.,1,5,2,1,"Responsibility, Transparency, Accountability",18 - 24,Woman,Canada,Bachelor’s degree,Employed full time,7
Yes,Rarely,2–4 hours,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,4,1,2,2,1,needing help with msth equation,1,3,4,1,"Fairness, Non-harm, Transparency",25 - 34,Woman,US,Some university/college,Employed full time,4
Yes,Occasionally,5–6 hours,2,4,2,3,2,5,5,5,2,3,5,5,6,6,7,7,5,7,7,6,"I used AI to help me decide how to proceed with a professional project proposal, and I felt like a fraud because I did exactly what it said to do. I was just ""stuck"" and couldn't generate good ideas.",2,6,7,1,"Honesty, Human wellbeing, Non-harm",25 - 34,Woman,US,Postgraduate degree,Employed full time,5
Yes,Often,11–12 hours,5,3,3,4,5,2,1,5,4,4,1,3,5,6,7,6,3,2,3,4,"asked AI to help finding correct shoe sizes, as the manufacturer website didnt have guidance",2,6,4,4,"Non-harm, Transparency",35 - 44,Man,Ireland,Bachelor’s degree,Employed full time,6
Yes,Occasionally,2–4 hours,2,2,2,2,5,5,5,2,1,1,2,2,2,2,2,5,2,2,2,2,to find out AI thoughts on removing 2 child benefit cap,5,5,2,4,"Honesty, Responsibility, Accountability",55 - 65,Woman,UK,Postgraduate degree,Other,3
Yes,Rarely,2–4 hours,2,2,1,1,3,1,2,4,2,1,2,2,1,2,3,1,2,2,1,2,Curiosity,1,3,2,4,"Non-harm, Transparency, Accountability",Over 65,Man,New Zealand,Bachelor’s degree,Self-employed / freelance,5
Yes,Sometimes,2–4 hours,2,1,1,1,3,1,2,4,2,1,1,1,1,1,5,6,2,2,1,1,I relied to AI because I wanted a feedback about a novel I wrote but was too insecure to share with real people ,1,4,5,1,"Honesty, Responsibility, Transparency",35 - 44,Woman,Canada,High school,Self-employed / freelance,2
Yes,Sometimes,2–4 hours,6,6,4,4,6,1,6,5,2,5,5,3,6,6,7,7,6,6,2,6,"I used AI to help me pick a suitable air compressor for a gift.  I needed help with speed, accuracy and strength topics.",5,6,5,5,"Honesty, Fairness, Transparency",55 - 65,Woman,US,Some university/college,Employed part-time,7
Yes,Often,7–8 hours,5,5,5,6,6,5,6,6,6,5,6,6,5,5,5,2,6,6,6,5,It helped me decide what to write in a very professional email to HR,5,5,5,6,"Honesty, Human wellbeing, Transparency",25 - 34,Man,UK,Postgraduate degree,Employed full time,5
Yes,Often,11–12 hours,2,3,3,2,3,4,3,3,2,2,3,3,2,4,6,5,4,3,3,4,I was thinking about getting a specific design for a tattoo but I wasn't quite sure about it so I asked AI. I turned to it because I wanted a second opinion whether it was a good design and not just whether someone liked the design or not.,5,3,6,2,"Honesty, Empathy, Transparency",18 - 24,Woman,Canada,High school,Student,3
Yes,Rarely,2–4 hours,1,1,1,1,1,3,5,1,1,1,1,5,5,6,7,7,4,5,5,5,Nothing in particular comes to mind ,1,7,4,1,"Empathy, Transparency, Accountability",45 - 54,Man,UK,Some university/college,Not currently working,6
Yes,Sometimes,7–8 hours,1,1,1,1,2,1,1,1,1,1,1,1,2,1,5,4,1,1,1,1,"Sorry, I don't use AI to make decisions. To me it is an entertainment only thing, it absolutely cannot be trusted to make decisions, because LLMs are just programmed to speak coherently, not to be factually accurate.",1,6,2,1,"Responsibility, Non-harm, Transparency",35 - 44,Man,Canada,Bachelor’s degree,Employed full time,4
Yes,Sometimes,More than 12 hours,2,1,1,1,1,1,2,1,1,1,4,1,2,1,7,7,2,3,1,1,I was asking it for suggestions for dinner in town and it suggested i try something ethnic i was not familiar with. I thought about the suggestion but chose something more familiar.,3,6,1,1,"Honesty, Fairness, Transparency",35 - 44,Woman,Canada,Bachelor’s degree,Employed full time,6
Yes,Sometimes,2–4 hours,3,3,3,5,4,1,1,1,1,1,1,1,1,1,1,6,4,4,2,4,"planning for a recent holiday - used to suss out options at certain times of the year quite quickly
",4,4,4,4,"Transparency, Accountability",45 - 54,Woman,UK,Postgraduate degree,Employed part-time,6
Yes,Very often,More than 12 hours,2,6,4,2,3,1,3,1,1,2,1,1,4,1,1,6,3,1,1,4,I decided what gift to buy my dad for his birthday,7,4,1,6,"Honesty, Human wellbeing, Transparency",18 - 24,Man,UK,Bachelor’s degree,Employed full time,3
Yes,Very often,7–8 hours,5,5,3,4,6,1,7,6,4,5,3,2,6,4,7,7,3,5,1,5,Preparing my Christmas shopping list and then using AI to decide which shops used based on this list to get quick recommendations,6,5,6,4,"Honesty, Non-harm, Transparency",35 - 44,Man,UK,Postgraduate degree,Employed full time,5
Yes,Everyday,5–6 hours,5,5,6,5,6,1,3,5,3,5,3,3,5,3,1,1,5,1,1,6,i sprained my ankle badly wasnt sure if i should go to hospital i asked AI about all my symptoms and wether or not i should go,5,5,2,6,"Honesty, Responsibility, Non-harm",45 - 54,Woman,UK,Some university/college,Self-employed / freelance,5
Yes,Sometimes,5–6 hours,2,2,2,2,2,2,3,2,2,4,3,2,2,2,4,6,3,2,4,3,Making my emails at work sound more professional. I didn't think my words sounded professional enough.,4,6,6,2,"Honesty, Fairness, Transparency",35 - 44,Woman,US,Bachelor’s degree,Employed full time,6
Yes,Very often,9–10 hours,5,6,5,5,7,2,5,6,5,5,6,4,5,4,4,3,6,4,4,6,I relied on AI tools when I was selling my house to advise me whether to accept an offer. I turned to AI instead of deciding on my own because I don't have experience selling property and I like being able to ask AI about it and ask about what is 'typical' or 'expected' in UK house sales.,6,6,4,5,"Honesty, Fairness, Transparency",35 - 44,Man,UK,Some university/college,Self-employed / freelance,6
Yes,Never,7–8 hours,1,1,1,1,1,2,1,1,1,1,1,1,1,1,7,7,1,1,1,1,I can't think of an occasion where this has happened. I use google as a search engine like everyone else but I have never specifically interacted with an AI and would never give it the power to influence my decision making.,1,4,6,1,"Transparency, Accountability",55 - 65,Woman,UK,Bachelor’s degree,Self-employed / freelance,4
Yes,Everyday,7–8 hours,6,7,7,4,7,4,6,7,7,7,7,5,7,2,1,4,7,4,1,6,I had a contract that needed summarized and didn't have time to get an attorneys opinion so I used AI to decipher the document contents.,6,7,6,7,"Honesty, Responsibility, Transparency",45 - 54,Man,US,Some university/college,Self-employed / freelance,7
Yes,Sometimes,5–6 hours,4,5,5,5,6,3,4,5,5,4,5,5,4,5,7,7,5,4,5,5,I was debating on whether to end my 2 month sobriety streak. I talked to chat GPT about it and it weighed the pros and cons and eventually I decided to end the streak. I turned to AI as I didn’t want to be judged and wanted a thoughtful answer quickly. ,6,6,4,4,"Honesty, Human wellbeing, Transparency",25 - 34,Man,US,Bachelor’s degree,Employed full time,6
