"AI_usage_freq","hours_online","AI_confidence","AI_comfort","pre_attachment_knowledge","attachment_encounters_freq","AI_replace_human_freq","digital_effect_mind","AI_influence_decisions","feeling_lonely","human_relation_satisfaction","AI_emotional_support","AI_form_of_companionship","AI_to_human_meaningful","AI_to_human_comfort","AI_to_human_emotional_safety","AI_trust","AI_boundaries","AI_boundaries_change","risk_concern","dependency_concerns","AI_rely_growth","open_to_AI_relationship","AI_replace_human","socially_acceptable","personal_or_other_relationship","only_humans","clear_life_priorities","clear_values","decisions_align_values","decisions_conflict_values","clear_AI_values","AI_values_align_personal","AI_emotion_align_personal","AI_different_values_concern","AI_future_values_confidence","AI_respect_expectations","interest_in_daily_life","emotional_wellbeing","age","gender","country","education","work_status","empathy_AI_values","fairness_AI_values","honesty_AI_values","wellbeing_AI_values","nonharm_AI_values","respect_AI_values","responsibility_AI_values","transparency_AI_values","accountability_AI_values","accuracy_AI_values","emotional_AI_use"
"Occasionally","7–8 hours",4,3,4,"Occasionally","Rarely","Moderately",4,5,6,3,3,2,2,3,3,6,"No, they have stayed the same",7,5,2,1,2,4,"Yes, someone I personally know has",6,6,6,5,6,4,3,2,4,3,3,3,5,"18 - 24","Woman","UK","Bachelor’s degree","Employed part-time","0","0","1","0","1","1","0","0","0","0",0
"Never","2–4 hours",4,4,4,"Never","Never","Significantly",1,3,5,1,1,1,1,1,1,7,"No, they have stayed the same",7,1,1,1,1,1,"No, neither myself nor anyone I know",7,6,6,6,5,4,1,1,4,1,4,2,5,"35 - 44","Woman","US","Bachelor’s degree","Self-employed / freelance","0","0","0","0","1","0","0","1","1","0",0
"Everyday","More than 12 hours",6,6,5,"Rarely","Very often","Not at all",6,5,5,1,3,1,3,4,6,6,"Yes, they have become stronger",1,1,7,3,1,3,"No, neither myself nor anyone I know",7,7,7,7,6,7,4,4,1,5,5,4,5,"25 - 34","Woman","UK","Bachelor’s degree","Employed full time","0","1","1","0","0","0","0","1","0","0",1
"Often","5–6 hours",5,6,4,"Occasionally","Rarely","Moderately",4,3,5,5,5,3,4,3,5,5,"No, they have stayed the same",5,5,5,3,6,5,"No, neither myself nor anyone I know",6,6,6,6,3,6,6,5,2,5,5,3,5,"45 - 54","Woman","UK","Bachelor’s degree","Self-employed / freelance","0","1","1","0","0","0","1","0","0","0",0
"Often","5–6 hours",5,5,5,"Rarely","Rarely","Moderately",5,3,4,1,1,1,4,4,6,6,"No, they have stayed the same",1,1,1,1,1,2,"No, neither myself nor anyone I know",7,7,7,5,6,5,5,5,1,6,6,4,5,"25 - 34","Woman","UK","Bachelor’s degree","Employed full time","0","0","1","0","0","0","0","1","1","0",0
"Sometimes","5–6 hours",6,6,2,"Never","Rarely","Not at all",5,1,7,1,2,2,3,5,5,5,"No, they have stayed the same",1,1,2,2,1,4,"No, neither myself nor anyone I know",6,6,6,6,2,5,5,6,3,6,4,4,6,"45 - 54","Woman","UK","Some university/college","Employed full time","0","1","1","0","0","0","0","1","0","0",0
"Everyday","Less than 2 hours",5,5,4,"Occasionally","Sometimes","Significantly",5,1,5,5,5,5,6,6,5,5,"No, they have stayed the same",6,5,5,3,6,2,"No, neither myself nor anyone I know",7,3,3,3,5,3,5,7,4,5,5,3,4,"45 - 54","Woman","UK","Some university/college","Employed full time","0","0","1","0","0","0","0","1","1","0",1
"Sometimes","Less than 2 hours",6,1,5,"Rarely","Rarely","Slightly",1,1,6,1,1,1,1,1,2,6,"Yes, they have become weaker",7,1,1,1,2,1,"No, neither myself nor anyone I know",7,7,7,7,1,2,2,2,7,2,2,5,6,"55 - 65","Woman","US","Bachelor’s degree","Employed full time","0","0","0","0","1","0","0","1","1","0",0
"Rarely","2–4 hours",4,3,4,"Occasionally","Never","Slightly",1,1,7,1,1,1,1,1,1,6,"I’m not sure",6,1,2,2,1,3,"No, neither myself nor anyone I know",7,4,4,4,5,2,3,3,6,3,2,4,5,"45 - 54","Woman","UK","Bachelor’s degree","Self-employed / freelance","0","0","0","0","1","0","0","0","0","0",0
"Everyday","5–6 hours",6,7,4,"Rarely","Never","Slightly",4,3,6,1,1,1,1,1,4,6,"I’m not sure",5,1,1,1,1,1,"Yes, someone I personally know has",6,6,6,5,2,4,4,1,1,4,6,3,5,"25 - 34","Woman","Canada","Bachelor’s degree","Not currently working","0","0","1","0","1","1","0","0","0","0",0
