I am 18+ and consent to take part. I understand anomymised data will be published openly,"How often do you use digital or AI-powered tools (e.g., ChatGPT, Copilot, Gemini, AI-enhanced search) in your daily life? ",I have a clear understanding of my core personal values. ,I can easily explain what matters most to me. ,My values rarely change over time. ,I feel confident in what I believe is right for me. ,Which of the following best represent your top three personal values? (select up to 3),What matters most to you in life?  ,My life feels meaningful. ,I feel fulfilled by how I spend my time. ,I have a clear sense of direction in my life. ,I often feel unsure about what I truly want in life. ,I feel motivated about my future. ,My daily behaviour reflects my values. ,I often behave in ways that conflict with what’s important to me. ,"I often know what I should do, but I struggle to follow through in real life ",I struggle to be the person I want to be. ,Which areas of your life feel least aligned with your values? (select all that apply),  I have felt cheerful and in good spirits.  ,I have felt calm and relaxed. ,I have felt active and vigorous. ,I woke up feeling fresh and rested. ,My daily life has been filled with things that interest me. ,I trust myself to make good decisions. ,I feel easily influenced by other people’s opinions. ,I doubt myself even when I know what I truly value. ,I find it difficult to follow my internal compass. ,Digital noise makes it harder to focus on what matters. ,I often feel distracted from my values by online content. ,"I often feel reactive, distracted, or pulled away from the person I want to become. ",AI tools sometimes influence how I think about decisions. ,I prefer to rely on my own judgement rather than AI suggestions. ,I worry that AI could push society away from meaningful things.  ,AI should be trained to reflect core human values. ,Understanding what humans value is important for future AI systems. ,Which values do you believe AI systems should reflect? (select up 3),What is your age group?,Which of the following best describes your current work status? ,What is your highest level of education? ,Country of residence,Which of the following best describes your gender?,How would you describe your general emotional wellbeing?  
Yes,Rarely,7,7,5,6,"Family, Health, Adventure",Making the most of the limited time that we have on the planet to develop meaningful relationships and explore the world!,7,6,6,2,6,6,3,4,4,"Health, Relationships, Purpose / direction",5,4,5,4,5,6,4,3,2,5,5,3,3,7,7,7,7,"Honesty, Human wellbeing, Non-harm",45 - 54,Employed full time,Postgraduate degree,Canada,Woman,6
Yes,Everyday,6,7,6,7,"Family, Health, Independence",my loved ones,7,6,7,1,6,6,6,2,3,"Digital habits, Finances",4,5,3,4,4,6,2,1,1,6,5,4,4,5,4,6,6,"Honesty, Empathy, Human wellbeing",45 - 54,Employed full time,Bachelor’s degree,US,Man,6
Yes,Often,5,5,5,5,"Family, Honesty / Integrity, Independence",Living well and treating others kindly,5,5,5,3,5,5,3,4,4,"Work / career, Digital habits",4,4,4,4,4,5,3,3,3,5,5,5,4,7,3,4,5,"Fairness, Human wellbeing, Transparency",25 - 34,Employed full time,Bachelor’s degree,UK,Man,6
Yes,Often,5,7,7,6,"Family, Compassion, Friendship","My loved ones, family and friends as well as animals. ",6,5,4,6,4,6,2,3,5,"Work / career, Digital habits, Finances",4,3,3,2,4,4,5,6,3,6,6,5,4,5,6,7,7,"Empathy, Human wellbeing, Non-harm",25 - 34,Employed part-time,Some university/college,Canada,Woman,5
Yes,Everyday,5,5,4,5,"Family, Achievement / Growth, Security / Stability",Self actualization and connection with others,5,4,4,5,5,5,3,4,3,Digital habits,4,4,4,4,3,6,4,4,4,7,6,5,5,4,4,5,5,"Empathy, Fairness, Human wellbeing",18 - 24,Student,Some university/college,Canada,Woman,5
Yes,Occasionally,5,6,5,6,"Family, Security / Stability",Family,6,6,5,2,5,6,2,4,3,"Digital habits, Finances",4,4,3,4,4,6,4,3,2,5,4,3,3,6,4,2,3,"Honesty, Responsibility, Transparency",35 - 44,Employed full time,High school,Canada,Man,6
Yes,Very often,5,5,6,6,"Family, Compassion, Community / Contribution",My family. ,4,5,3,6,4,6,1,2,3,"Time / focus, Relationships, Purpose / direction",3,3,2,2,3,5,2,5,3,4,2,2,2,6,6,2,3,"Fairness, Respect, Responsibility",18 - 24,Student,Some university/college,Canada,Woman,4
Yes,Everyday,6,7,5,6,"Achievement / Growth, Health, Faith / Spirituality","My well-being! For me that includes physical, mental and spiritual health. ",6,5,5,5,5,5,2,4,5,"Time / focus, Digital habits, Finances",3,3,3,4,4,6,3,3,5,7,4,5,6,6,7,5,5,"Honesty, Non-harm, Transparency",25 - 34,Employed full time,Bachelor’s degree,Canada,Woman,6
Yes,Occasionally,5,4,3,5,"Family, Honesty / Integrity, Compassion",My family and being kind to other people. This means understanding we all have our issues and problems therefore we must always be kind ,4,3,2,6,3,4,3,6,5,"Health, Work / career, Purpose / direction",2,1,3,3,2,5,2,5,2,3,4,5,3,7,5,4,6,"Empathy, Respect, Transparency",25 - 34,Self-employed / freelance,Bachelor’s degree,US,Woman,3
Yes,Sometimes,6,5,4,5,"Honesty / Integrity, Security / Stability, sustainability",Financial stability,5,4,5,1,5,6,2,7,6,"Time / focus, Relationships, Work / career, Fitness",3,2,1,2,3,6,2,3,2,5,5,3,2,5,5,4,7,"Responsibility, Transparency, Accountability",35 - 44,Employed part-time,Bachelor’s degree,UK,Man,5
